ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,ch,chp,time
859.75,6857556,1720769106,1720769106,5,26,859.75,859.95,12,652642,1733395,859.55,855.3,863.0,0,0,856.7,856.7,3.05,0.356,1720788906.860592
859.85,6857556,1720769106,1720769107,5,26,859.75,859.95,1,652642,1733395,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788907.151083
860.0,6857612,1720769107,1720769107,3,10920,859.85,860.0,19,652789,1740759,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788907.756777
860.0,6857612,1720769107,1720769108,3,10920,859.85,860.0,33,652789,1740759,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788908.163137
860.0,6857780,1720769108,1720769108,3,10753,859.85,860.0,33,652154,1740677,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788908.961157
859.85,6857780,1720769108,1720769109,3,10753,859.85,860.0,1,652154,1740677,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788909.155512
859.85,6857883,1720769109,1720769109,1,10652,859.85,860.0,1,652540,1740220,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788909.966007
860.0,6857883,1720769109,1720769110,1,10652,859.85,860.0,86,652540,1740220,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788910.156267
860.0,6857983,1720769109,1720769110,1,10652,859.85,860.0,86,652827,1740336,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788910.760719
860.0,6857983,1720769109,1720769111,1,10652,859.85,860.0,86,652750,1740439,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788911.357134
860.0,6857983,1720769109,1720769112,1,10652,859.85,860.0,9,652750,1740439,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788912.357511
860.0,6858047,1720769112,1720769112,1,10588,859.9,860.0,9,654584,1740108,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788912.469531
860.0,6858047,1720769112,1720769113,1,10588,859.9,860.0,1,654584,1740108,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788913.158151
860.0,6858096,1720769112,1720769113,1,10539,859.9,860.0,1,654584,1740433,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788913.584804
859.65,6858096,1720769112,1720769114,1,10539,859.9,860.0,28,654584,1740433,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788914.159767
860.0,6858096,1720769112,1720769115,1,10539,859.9,860.0,1,654584,1740433,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788915.158413
859.85,6858096,1720769112,1720769116,1,10539,859.9,860.0,56,654584,1740433,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788916.169636
860.0,6858096,1720769112,1720769117,1,10539,859.9,860.0,33,654584,1740433,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788917.160901
860.0,6858096,1720769112,1720769118,1,10539,859.9,860.0,40,654584,1740433,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788918.162777
859.75,6858096,1720769112,1720769119,1,10539,859.9,860.0,18,654584,1740433,859.55,855.3,863.0,0,0,856.7,856.7,3.05,0.356,1720788919.172746
859.75,6859366,1720769118,1720769119,5,1,859.7,859.95,18,653370,1739772,859.55,855.3,863.0,0,0,856.7,856.7,3.05,0.356,1720788919.558947
860.0,6859366,1720769118,1720769120,5,1,859.7,859.95,441,653370,1739772,859.55,855.3,863.0,0,0,856.7,856.7,3.3,0.3852,1720788920.163565
859.9,6859366,1720769118,1720769121,5,1,859.7,859.95,21,653370,1739772,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788921.366399
859.9,6859366,1720769118,1720769122,5,1,859.7,859.95,1,653370,1739772,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788922.177397
859.9,6859366,1720769118,1720769123,5,1,859.7,859.95,1,653370,1739772,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788923.069012
859.9,6859366,1720769118,1720769124,5,1,859.7,859.95,2,653370,1739772,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788924.169677
859.65,6859366,1720769118,1720769125,5,1,859.7,859.95,52,653370,1739772,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788925.070855
859.65,6860654,1720769125,1720769125,363,1,859.65,859.85,34,652591,1741992,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788925.568539
859.9,6860654,1720769125,1720769126,363,1,859.65,859.85,52,652591,1741992,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788926.071698
859.65,6860654,1720769125,1720769127,363,1,859.65,859.85,49,652591,1741992,859.55,855.3,863.0,0,0,856.7,856.7,2.95,0.3443,1720788927.083921
859.85,6860654,1720769125,1720769128,363,1,859.65,859.85,1,652591,1741992,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788928.07354
859.85,6860654,1720769125,1720769129,363,1,859.65,859.85,33,652591,1741992,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788929.073536
859.9,6860654,1720769125,1720769130,363,1,859.65,859.85,48,652591,1741992,859.55,855.3,863.0,0,0,856.7,856.7,3.2,0.3735,1720788930.079952
859.85,6860654,1720769125,1720769131,363,1,859.65,859.85,1,652591,1741992,859.55,855.3,863.0,0,0,856.7,856.7,3.15,0.3677,1720788931.077624
