bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_size1,bid_size2,bid_size3,bid_size4,bid_size5,bid_order1,bid_order2,bid_order3,bid_order4,bid_order5,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_size1,ask_size2,ask_size3,ask_size4,ask_size5,ask_order1,ask_order2,ask_order3,ask_order4,ask_order5,time
860.15,860.1,860.05,860.0,859.95,860.45,860.5,860.55,860.6,860.65,93,103,564,908,525,713,7536,296,935,1280,1,5,8,10,6,2,20,5,10,21,1720790795.051064
860.4,860.3,860.15,860.1,860.05,860.45,860.5,860.55,860.6,860.65,25,1,96,324,618,493,7517,250,922,1262,1,1,1,6,9,1,20,4,10,21,1720790796.250104
860.4,860.3,860.15,860.1,860.05,860.45,860.5,860.55,860.6,860.65,37,1,96,386,618,493,7517,250,922,1262,2,1,1,7,9,1,20,4,10,21,1720790797.261383
860.4,860.3,860.15,860.1,860.05,860.45,860.5,860.55,860.6,860.65,29,1,96,386,618,246,7517,250,911,1177,2,1,1,7,9,1,20,4,9,19,1720790798.052922
860.4,860.35,860.3,860.25,860.15,860.45,860.5,860.55,860.6,860.65,27,10,1,50,222,234,7517,250,911,1123,2,1,1,1,2,1,20,4,9,18,1720790799.252361
860.25,860.15,860.1,860.05,860.0,860.45,860.5,860.55,860.6,860.65,15,126,324,618,908,201,7632,280,951,1201,1,1,6,9,10,1,21,6,10,20,1720790800.25017
860.3,860.25,860.15,860.1,860.05,860.45,860.5,860.55,860.6,860.65,9,15,126,50,428,167,7989,319,1107,1951,1,1,1,4,6,1,25,7,12,19,1720790801.062227
860.3,860.15,860.1,860.05,860.0,860.45,860.5,860.55,860.6,860.65,6,126,50,429,957,165,7989,319,1107,1951,1,1,4,6,10,1,25,7,12,19,1720790802.067231
860.3,860.15,860.1,860.05,860.0,860.4,860.5,860.55,860.6,860.65,5,126,125,439,914,4,7933,250,1020,1960,1,1,5,8,11,1,24,4,12,21,1720790803.296822
860.3,860.2,860.15,860.1,860.05,860.5,860.55,860.6,860.65,860.7,7,20,189,73,720,7564,250,996,1104,3465,1,1,2,5,10,18,4,11,18,15,1720790804.054973
860.3,860.2,860.15,860.1,860.05,860.5,860.55,860.6,860.65,860.7,18,46,228,73,667,7505,250,858,541,2584,2,2,3,5,9,17,4,8,11,13,1720790805.054851
860.3,860.15,860.1,860.05,860.0,860.5,860.55,860.6,860.65,860.7,8,189,50,426,1083,7554,250,858,589,3109,1,2,4,7,13,18,4,8,12,21,1720790806.164668
860.4,860.3,860.15,860.1,860.05,860.5,860.55,860.6,860.65,860.7,11,19,252,50,479,7580,255,869,769,3850,1,2,3,4,8,19,5,9,13,20,1720790807.084549
